People will still risk everything for it, from White Harbor to Ramsay's own door. <eos>I don't doubt it. <eos>But Jon doesn't have the Stark name. <eos>No, but I do.	Люди всё ещё готовы рисковать всем ради него, от Белой Гавани до дверей Рамси. <eos>Не сомневаюсь. <eos>Но Джон не носит имя Старков. <eos>Нет, но я ношу.
People will still risk everything for it, from White Harbor to Ramsay's own door. <eos>I don't doubt it. <eos>But Jon doesn't have the Stark name. <eos>No, but I do.	Люди всё ещё готовы рисковать всем ради него, от Белой Гавани до дверей Рамси. <eos>Не сомневаюсь. <eos>Но Джон не носит имя Старков. <eos>Нет, но я делаю.
People will still risk everything for it, from White Harbor to Ramsay's own door. <eos>I don't doubt it. <eos>But Jon doesn't have the Stark name. <eos>No, but I do.	Люди всё ещё готовы рисковать всем ради него, от Белой Гавани до дверей Рамси. <eos>Не сомневаюсь. <eos>Но Джон не носит имя Старков. <eos>Нет, но я хочу.
People will still risk everything for it, from White Harbor to Ramsay's own door. <eos>I don't doubt it. <eos>But Jon doesn't have the Stark name. <eos>No, but I do.	Люди всё ещё готовы рисковать всем ради него, от Белой Гавани до дверей Рамси. <eos>Не сомневаюсь. <eos>Но Джон не носит имя Старков. <eos>Нет, но я думаю.
People will still risk everything for it, from White Harbor to Ramsay's own door. <eos>I don't doubt it. <eos>But Jon doesn't have the Stark name. <eos>No, but I do.	Люди всё ещё готовы рисковать всем ради него, от Белой Гавани до дверей Рамси. <eos>Не сомневаюсь. <eos>Но Джон не носит имя Старков. <eos>Нет, но я занимаюсь.
People will still risk everything for it, from White Harbor to Ramsay's own door. <eos>I don't doubt it. <eos>But Jon doesn't have the Stark name. <eos>No, but I do.	Люди всё ещё готовы рисковать всем ради него, от Белой Гавани до дверей Рамси. <eos>Не сомневаюсь. <eos>Но Джон не носит имя Старков. <eos>Нет, но я знаю.
People will still risk everything for it, from White Harbor to Ramsay's own door. <eos>I don't doubt it. <eos>But Jon doesn't have the Stark name. <eos>No, but I do.	Люди всё ещё готовы рисковать всем ради него, от Белой Гавани до дверей Рамси. <eos>Не сомневаюсь. <eos>Но Джон не носит имя Старков. <eos>Нет, но я могу.
People will still risk everything for it, from White Harbor to Ramsay's own door. <eos>I don't doubt it. <eos>But Jon doesn't have the Stark name. <eos>No, but I do.	Люди всё ещё готовы рисковать всем ради него, от Белой Гавани до дверей Рамси. <eos>Не сомневаюсь. <eos>Но Джон не носит имя Старков. <eos>Нет, но мне нужно.
People will still risk everything for it, from White Harbor to Ramsay's own door. <eos>I don't doubt it. <eos>But Jon doesn't have the Stark name. <eos>No, but I do.	Люди всё ещё готовы рисковать всем ради него, от Белой Гавани до дверей Рамси. <eos>Не сомневаюсь. <eos>Но Джон не носит имя Старков. <eos>Нет, но я поступаю.
People will still risk everything for it, from White Harbor to Ramsay's own door. <eos>I don't doubt it. <eos>But Jon doesn't have the Stark name. <eos>No, but I do.	Люди всё ещё готовы рисковать всем ради него, от Белой Гавани до дверей Рамси. <eos>Не сомневаюсь. <eos>Но Джон не носит имя Старков. <eos>Нет, но я помогаю.
